"Cultivar","Trial","Replicate","Toxin"
"Trond","T1","R2",20
"Trond","T2","R3",59.1
"Trond","T2","R4",39.95
"Veli","T1","R1",106.45
"Veli","T1","R2",121.2
"Veli","T2","R3",24.85
"Veli","T2","R4",20
"Voll","T1","R1",84.2
"Voll","T1","R2",57.2
"Voll","T2","R3",88
"Voll","T2","R4",52.95
"Westfinnischerch","T1","R1",89.2
"Westfinnischerch","T1","R2",50.85
"Westfinnischerch","T2","R3",44.95
"Westfinnischerch","T2","R4",249.75
"Yty","T1","R1",103.7
"Yty","T1","R2",227
"Yty","T2","R3",20
"Yty","T2","R4",23.5
"Aspen","T1","R1",87.45
"Aspen","T1","R2",66.8
"Aspen","T2","R3",561.9
"Aspen","T2","R4",22.5
"Barra","T1","R1",25.8
"Barra","T1","R2",20.9
"Barra","T2","R3",44.1
"Barra","T2","R4",37.6
"Canyon","T1","R1",20
"Canyon","T1","R2",20
"Canyon","T2","R3",58.65
"Canyon","T2","R4",20
"Conway","T1","R1",56.85
"Conway","T1","R2",164.9
"Conway","T2","R3",134.5
"Conway","T2","R4",79.8
"Firth","T1","R1",20
"Firth","T1","R2",20
"Firth","T2","R3",20
"Firth","T2","R4",20
"Harmony","T1","R1",20
"Harmony","T1","R2",25.1
"Harmony","T2","R3",26.45
"Harmony","T2","R4",20
"Husky","T1","R1",174.9
"Husky","T1","R2",121.7
"Husky","T2","R3",57.4
"Husky","T2","R4",65.9
"Mascani","T1","R1",20
"Mascani","T1","R2",20
"Mascani","T2","R3",20
"Mascani","T2","R4",21.5
"Montrose","T1","R1",20
"Montrose","T1","R2",20
"Montrose","T2","R3",20
"Montrose","T2","R4",20
"Romzard","T1","R1",24
"Romzard","T1","R2",21.05
"Romzard","T2","R3",20
"Romzard","T2","R4",20
"Vodka","T1","R1",42.15
"Vodka","T1","R2",22.25
"Vodka","T2","R3",331.95
"Vodka","T2","R4",297.25
